id,name,population,state,state_id
1,Autauga,55601,Alabama,1
2,Baldwin,218022,Alabama,1
3,Barbour,24881,Alabama,1
4,Bibb,22400,Alabama,1
5,Blount,57840,Alabama,1
6,Bullock,10138,Alabama,1
7,Butler,19680,Alabama,1
8,Calhoun,114277,Alabama,1
9,Chambers,33615,Alabama,1
10,Cherokee,26032,Alabama,1
11,Chilton,44153,Alabama,1
12,Choctaw,12841,Alabama,1
13,Clarke,23920,Alabama,1
14,Clay,13275,Alabama,1
15,Cleburne,14987,Alabama,1
16,Coffee,51909,Alabama,1
17,Colbert,54762,Alabama,1
18,Conecuh,12277,Alabama,1
19,Coosa,10715,Alabama,1
20,Covington,36986,Alabama,1
21,Crenshaw,13824,Alabama,1
22,Cullman,83442,Alabama,1
23,Dale,48956,Alabama,1
24,Dallas,38310,Alabama,1
25,DeKalb,71385,Alabama,1
26,Elmore,81887,Alabama,1
27,Escambia,36748,Alabama,1
28,Etowah,102501,Alabama,1
29,Fayette,16433,Alabama,1
30,Franklin,31363,Alabama,1
31,Geneva,26314,Alabama,1
32,Greene,8233,Alabama,1
33,Hale,14726,Alabama,1
34,Henry,17209,Alabama,1
35,Houston,104722,Alabama,1
36,Jackson,51736,Alabama,1
37,Jefferson,659300,Alabama,1
38,Lamar,13844,Alabama,1
39,Lauderdale,92387,Alabama,1
40,Lawrence,32957,Alabama,1
41,Lee,163941,Alabama,1
42,Limestone,96174,Alabama,1
43,Lowndes,9974,Alabama,1
44,Macon,18439,Alabama,1
45,Madison,366519,Alabama,1
46,Marengo,19066,Alabama,1
47,Marion,29763,Alabama,1
48,Marshall,96109,Alabama,1
49,Mobile,413757,Alabama,1
50,Monroe,21067,Alabama,1
51,Montgomery,225763,Alabama,1
52,Morgan,119089,Alabama,1
53,Perry,9140,Alabama,1
54,Pickens,19938,Alabama,1
55,Pike,33338,Alabama,1
56,Randolph,22725,Alabama,1
57,Russell,57781,Alabama,1
58,St. Clair,88690,Alabama,1
59,Shelby,215707,Alabama,1
