id,record_date,daily_first_doses,daily_first_doses_12plus,daily_first_doses_18plus,daily_first_doses_65plus,daily_fully_vaccinated,daily_fully_vaccinated_12plus,daily_fully_vaccinated_18plus,daily_fully_vaccinated_65plus,state,state_id
1,12/14/2020,0,0,0,0,0,0,0,0,Delaware,8
2,12/15/2020,0,0,0,0,0,0,0,0,Delaware,8
3,12/16/2020,0,0,0,0,0,0,0,0,Delaware,8
4,12/17/2020,0,0,0,0,0,0,0,0,Delaware,8
5,12/18/2020,0,0,0,0,0,0,0,0,Delaware,8
6,12/19/2020,0,0,0,0,0,0,0,0,Delaware,8
7,12/20/2020,0,0,0,0,0,0,0,0,Delaware,8
8,12/21/2020,0,0,0,0,0,0,0,0,Delaware,8
9,12/22/2020,0,0,0,0,0,0,0,0,Delaware,8
10,12/23/2020,0,0,0,0,0,0,0,0,Delaware,8
11,12/24/2020,0,0,0,0,0,0,0,0,Delaware,8
12,12/25/2020,0,0,0,0,0,0,0,0,Delaware,8
13,12/26/2020,0,0,0,0,0,0,0,0,Delaware,8
14,12/27/2020,0,0,0,0,0,0,0,0,Delaware,8
15,12/28/2020,0,0,0,0,0,0,0,0,Delaware,8
16,12/29/2020,0,0,0,0,0,0,0,0,Delaware,8
17,12/30/2020,0,0,0,0,0,0,0,0,Delaware,8
18,12/31/2020,0,0,0,0,0,0,0,0,Delaware,8
19,1/1/2021,0,0,0,0,0,0,0,0,Delaware,8
20,1/2/2021,0,0,0,0,0,0,0,0,Delaware,8
21,1/3/2021,0,0,0,0,0,0,0,0,Delaware,8
22,1/4/2021,0,0,0,0,0,0,0,0,Delaware,8
23,1/5/2021,0,0,0,0,0,0,0,0,Delaware,8
24,1/6/2021,0,0,0,0,0,0,0,0,Delaware,8
25,1/7/2021,0,0,0,0,0,0,0,0,Delaware,8
26,1/8/2021,0,0,0,0,0,0,0,0,Delaware,8
27,1/9/2021,0,0,0,0,0,0,0,0,Delaware,8
28,1/10/2021,0,0,0,0,0,0,0,0,Delaware,8
29,1/11/2021,0,0,0,0,0,0,0,0,Delaware,8
30,1/12/2021,0,0,0,0,0,0,0,0,Delaware,8
31,1/13/2021,0,0,0,0,0,0,0,0,Delaware,8
32,1/14/2021,0,0,0,0,0,0,0,0,Delaware,8
33,1/15/2021,0,0,0,0,0,0,0,0,Delaware,8
34,1/16/2021,0,0,0,0,0,0,0,0,Delaware,8
35,1/17/2021,0,0,0,0,0,0,0,0,Delaware,8
36,1/18/2021,0,0,0,0,0,0,0,0,Delaware,8
37,1/19/2021,0,0,0,0,0,0,0,0,Delaware,8
38,1/20/2021,0,0,0,0,0,0,0,0,Delaware,8
39,1/21/2021,0,0,0,0,0,0,0,0,Delaware,8
40,1/22/2021,0,0,0,0,0,0,0,0,Delaware,8
41,1/23/2021,0,0,0,0,0,0,0,0,Delaware,8
42,1/24/2021,0,0,0,0,0,0,0,0,Delaware,8
43,1/25/2021,0,0,0,0,0,0,0,0,Delaware,8
44,1/26/2021,0,0,0,0,0,0,0,0,Delaware,8
45,1/27/2021,0,0,0,0,0,0,0,0,Delaware,8
46,1/28/2021,0,0,0,0,0,0,0,0,Delaware,8
47,1/29/2021,0,0,0,0,0,0,0,0,Delaware,8
48,1/30/2021,0,0,0,0,0,0,0,0,Delaware,8
49,1/31/2021,0,0,0,0,0,0,0,0,Delaware,8
50,2/1/2021,0,0,0,0,0,0,0,0,Delaware,8
51,2/2/2021,0,0,0,0,0,0,0,0,Delaware,8
52,2/3/2021,0,0,0,0,0,0,0,0,Delaware,8
53,2/4/2021,0,0,0,0,0,0,0,0,Delaware,8
54,2/5/2021,0,0,0,0,0,0,0,0,Delaware,8
55,2/6/2021,0,0,0,0,0,0,0,0,Delaware,8
56,2/7/2021,0,0,0,0,0,0,0,0,Delaware,8
57,2/8/2021,0,0,0,0,0,0,0,0,Delaware,8
58,2/9/2021,0,0,0,0,0,0,0,0,Delaware,8
59,2/10/2021,0,0,0,0,0,0,0,0,Delaware,8
60,2/11/2021,0,0,0,0,0,0,0,0,Delaware,8
61,2/12/2021,0,0,0,0,0,0,0,0,Delaware,8
62,2/13/2021,109367,0,103770,0,0,0,0,0,Delaware,8
63,2/14/2021,2703,0,2699,0,0,0,0,0,Delaware,8
64,2/15/2021,2169,0,2166,0,0,0,0,0,Delaware,8
65,2/16/2021,831,0,831,0,0,0,0,0,Delaware,8
66,2/17/2021,1047,0,1048,0,0,0,0,0,Delaware,8
67,2/18/2021,2970,0,2968,0,0,0,0,0,Delaware,8
68,2/19/2021,8840,0,14396,0,0,0,0,0,Delaware,8
69,2/20/2021,2408,0,2407,0,0,0,0,0,Delaware,8
70,2/21/2021,294,0,294,0,0,0,0,0,Delaware,8
71,2/22/2021,1531,0,1531,0,0,0,0,0,Delaware,8
72,2/23/2021,495,0,495,0,0,0,0,0,Delaware,8
73,2/24/2021,834,0,834,0,0,0,0,0,Delaware,8
74,2/25/2021,1873,0,1873,0,0,0,0,0,Delaware,8
75,2/26/2021,2959,0,2958,0,0,0,0,0,Delaware,8
76,2/27/2021,2989,0,2988,0,0,0,0,0,Delaware,8
77,2/28/2021,2829,0,2829,0,0,0,0,0,Delaware,8
78,3/1/2021,1583,0,1582,0,0,0,0,0,Delaware,8
79,3/2/2021,170,0,170,0,0,0,0,0,Delaware,8
80,3/3/2021,4048,0,4048,0,0,0,0,0,Delaware,8
81,3/4/2021,4558,0,4556,0,0,0,0,0,Delaware,8
82,3/5/2021,4373,0,4373,100725,89357,0,89340,50950,Delaware,8
83,3/6/2021,5083,0,5080,3189,4358,0,4358,3633,Delaware,8
84,3/7/2021,6002,0,5999,3972,4297,0,4295,3398,Delaware,8
85,3/8/2021,2612,0,2612,2005,2531,0,2530,1986,Delaware,8
86,3/9/2021,1469,0,1469,848,3079,0,3079,2002,Delaware,8
87,3/10/2021,464,0,464,145,222,0,222,102,Delaware,8
88,3/11/2021,10276,0,10265,7335,4364,0,4364,3796,Delaware,8
89,3/12/2021,5475,0,5386,1414,3136,0,3096,1614,Delaware,8
90,3/13/2021,6679,0,6666,3719,4068,0,4067,2800,Delaware,8
91,3/14/2021,237,0,236,60,162,0,162,59,Delaware,8
92,3/15/2021,11138,0,11123,5812,5208,0,5207,4245,Delaware,8
93,3/16/2021,3477,0,3477,974,2037,0,2037,975,Delaware,8
94,3/17/2021,6704,0,6689,2919,1714,0,1713,830,Delaware,8
95,3/18/2021,6991,0,6973,2307,1374,0,1373,970,Delaware,8
96,3/19/2021,5942,0,5921,1878,1275,0,1273,885,Delaware,8
97,3/20/2021,7393,0,7376,2108,2236,0,2235,1428,Delaware,8
98,3/21/2021,7709,0,7679,2046,2078,0,2078,1507,Delaware,8
99,3/22/2021,4956,0,4945,525,1902,0,1902,1182,Delaware,8
100,3/23/2021,753,0,745,90,213,0,213,67,Delaware,8
101,3/24/2021,6457,0,6419,1410,1959,0,1956,1512,Delaware,8
102,3/25/2021,6368,0,6339,984,2925,0,2924,1955,Delaware,8
103,3/26/2021,7339,0,7307,1318,3518,0,3513,2141,Delaware,8
104,3/27/2021,6336,0,6281,972,4180,0,4178,2728,Delaware,8
105,3/28/2021,6369,0,6238,878,3704,0,3701,2550,Delaware,8
106,3/29/2021,5427,0,5190,622,3004,0,3004,1478,Delaware,8
107,3/30/2021,4869,0,4844,400,2540,0,2531,775,Delaware,8
108,3/31/2021,6647,0,6600,790,4332,0,4328,2192,Delaware,8
109,4/1/2021,7657,0,7589,918,3813,0,3812,1806,Delaware,8
110,4/2/2021,8548,0,8372,1085,4096,0,4093,2288,Delaware,8
111,4/3/2021,8258,0,7872,978,4430,0,4145,2587,Delaware,8
112,4/4/2021,5986,0,90,11,3918,0,317,56,Delaware,8
113,4/5/2021,5672,0,-1,-1,2050,0,0,-1,Delaware,8
114,4/6/2021,1639,0,13352,1129,885,0,6812,3500,Delaware,8
115,4/7/2021,4740,0,4698,548,4749,0,4744,2487,Delaware,8
116,4/8/2021,5140,0,5076,652,3846,0,3837,1782,Delaware,8
117,4/9/2021,6957,0,6847,980,6403,0,6390,2768,Delaware,8
118,4/10/2021,6208,0,6005,810,7049,0,7036,2334,Delaware,8
119,4/11/2021,6816,0,6615,803,8180,0,8156,2656,Delaware,8
120,4/12/2021,3666,0,3559,359,3200,0,3194,840,Delaware,8
121,4/13/2021,3816,0,3592,370,2871,0,2855,634,Delaware,8
122,4/14/2021,5667,0,5409,625,6858,0,6830,2383,Delaware,8
123,4/15/2021,5776,0,5511,672,7109,0,7094,1729,Delaware,8
124,4/16/2021,6362,0,6099,619,7061,0,7038,1536,Delaware,8
125,4/17/2021,5114,0,4909,563,6602,0,6560,1524,Delaware,8
126,4/18/2021,4964,0,4809,560,6504,0,6382,1462,Delaware,8
127,4/19/2021,3084,0,2987,298,4854,0,4627,609,Delaware,8
128,4/20/2021,3213,0,3052,419,2041,0,2015,301,Delaware,8
129,4/21/2021,6163,0,5917,540,5715,0,5679,914,Delaware,8
130,4/22/2021,5557,0,5358,456,6618,0,6544,890,Delaware,8
131,4/23/2021,5637,0,5390,492,6934,0,6783,1001,Delaware,8
132,4/24/2021,4818,0,4666,441,6927,0,6795,839,Delaware,8
133,4/25/2021,5828,0,5652,498,7923,0,7875,867,Delaware,8
134,4/26/2021,2281,0,2051,202,3923,0,3902,357,Delaware,8
135,4/27/2021,2295,0,2209,216,3045,0,3032,264,Delaware,8
136,4/28/2021,3229,0,3093,350,6680,0,6645,978,Delaware,8
137,4/29/2021,3577,0,3486,387,5309,0,5271,764,Delaware,8
138,4/30/2021,3910,0,3647,370,6838,0,6761,897,Delaware,8
139,5/1/2021,3915,0,3585,388,7556,0,7476,848,Delaware,8
140,5/2/2021,3015,0,2845,328,6399,0,6295,598,Delaware,8
141,5/3/2021,1265,0,1188,126,1451,0,1247,152,Delaware,8
142,5/4/2021,1286,0,1250,140,2391,0,2304,193,Delaware,8
143,5/5/2021,2724,0,2568,330,4705,0,4548,537,Delaware,8
144,5/6/2021,225,0,222,25,267,0,267,32,Delaware,8
145,5/7/2021,6385,0,6012,727,9898,0,9570,1226,Delaware,8
146,5/8/2021,2510,0,2363,279,4539,0,4337,451,Delaware,8
147,5/9/2021,2387,0,2299,290,4975,0,4796,690,Delaware,8
148,5/10/2021,2000,0,1940,227,3921,0,3649,375,Delaware,8
149,5/11/2021,2271,0,2091,192,3559,0,3331,254,Delaware,8
150,5/12/2021,1475,0,1413,162,2715,0,2620,342,Delaware,8
151,5/13/2021,1361,485318,1209,162,3805,372367,3621,405,Delaware,8
152,5/14/2021,2393,2390,1775,216,2719,2719,2593,318,Delaware,8
153,5/15/2021,2282,2285,1781,229,2542,2541,2409,387,Delaware,8
154,5/16/2021,3246,3244,2493,288,3980,3980,3806,445,Delaware,8
155,5/17/2021,2248,2246,1314,140,2644,2643,2370,308,Delaware,8
156,5/18/2021,1248,1248,960,107,1059,1059,1012,107,Delaware,8
157,5/19/2021,1743,1742,1292,166,2301,2300,2152,303,Delaware,8
158,5/20/2021,988,988,698,96,1544,1544,1461,157,Delaware,8
159,5/21/2021,4054,4052,2863,305,3008,3008,2846,363,Delaware,8
160,5/22/2021,5331,5331,3886,323,4422,4422,4161,429,Delaware,8
161,5/23/2021,3621,3619,2919,295,4412,4412,4239,576,Delaware,8
162,5/24/2021,2495,2495,1513,133,1628,1628,1515,166,Delaware,8
163,5/25/2021,2042,2042,1254,130,1664,1664,1580,184,Delaware,8
164,5/26/2021,1783,1781,1289,175,2144,2143,2066,210,Delaware,8
165,5/27/2021,2265,2264,1731,196,3016,3016,2940,496,Delaware,8
166,5/28/2021,5397,5397,3652,380,5149,5149,4848,568,Delaware,8
167,5/29/2021,3284,3280,2269,246,3625,3625,3428,386,Delaware,8
168,5/30/2021,2073,2073,1597,194,2472,2472,2337,288,Delaware,8
169,5/31/2021,1358,1358,1135,113,1357,1357,1324,159,Delaware,8
170,6/1/2021,1151,1151,909,65,819,819,789,88,Delaware,8
171,6/2/2021,576,576,479,41,578,578,555,63,Delaware,8
172,6/3/2021,678,678,550,90,1536,1536,1429,314,Delaware,8
173,6/4/2021,1967,1965,1584,192,2742,2740,2045,265,Delaware,8
174,6/5/2021,125,125,119,22,173,173,143,21,Delaware,8
175,6/6/2021,3608,3605,2873,345,5508,5508,4071,533,Delaware,8
176,6/7/2021,1385,1384,961,89,2147,2146,1376,115,Delaware,8
177,6/8/2021,761,761,583,47,1494,1494,989,77,Delaware,8
178,6/9/2021,355,354,286,44,568,568,471,64,Delaware,8
179,6/10/2021,693,693,551,61,1246,1245,859,107,Delaware,8
180,6/11/2021,1244,1241,1026,131,2756,2756,1988,241,Delaware,8
181,6/12/2021,1427,1427,1131,143,3303,3303,2172,263,Delaware,8
182,6/13/2021,1420,1420,1125,124,2798,2798,1916,231,Delaware,8
183,6/14/2021,1301,1301,1133,120,2881,2880,2323,214,Delaware,8
184,6/15/2021,1072,1071,828,68,2878,2878,1624,154,Delaware,8
185,6/16/2021,85,85,81,15,141,141,127,18,Delaware,8
